country,trackID,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Austrialia,5,V.F.T.,Pulse transit,Ashley Davies,2018,454960,0,0.665,0.104,0.665,0.75,0.702,0.136,-12.636,0.0392,150.06,5
Austrialia,6,Fremantle Doctor,Pulse transit,Ashley Davies,2018,187946,0,0.828,0.117,0.828,0.355,0.78,0.0737,-10.577,0.0578,120.054,4
Austrialia,7,Diurnal,Pulse transit,Ashley Davies,2018,256613,0,0.515,0.0123,0.515,0.34,0.147,0.101,-11.097,0.025,90.274,1
Austrialia,8,The First Steps in an Epic Journey,Burke and Wills - the Expedition,Ashley Davies,2013,220733,0,0.412,0.0122,0.412,0.595,0.708,0.0926,-6.966,0.0351,172.014,4
Austrialia,9,On the Road to Menindie,Burke and Wills - the Expedition,Ashley Davies,2013,260959,0,0.728,0.565,0.728,0.396,0.45,0.102,-13.61,0.0299,102.294,4
Austrialia,10,The Wonder of Discovery,Burke and Wills - the Expedition,Ashley Davies,2013,258546,0,0.261,0.977,0.261,0.111,0.785,0.122,-17.709,0.0386,177.61,3
Austrialia,11,Heading North,Burke and Wills - the Expedition,Ashley Davies,2013,197946,0,0.674,0.944,0.674,0.312,0.851,0.0738,-11.223,0.0374,107.677,3
Austrialia,12,To Carpentaria Into the Unknown,Burke and Wills - the Expedition,Ashley Davies,2013,328026,0,0.624,0.00883,0.624,0.872,0.865,0.42,-8.253,0.0335,140.1,4
Austrialia,13,The Gulf Sucess of a Kind,Burke and Wills - the Expedition,Ashley Davies,2013,234586,0,0.542,0.0939,0.542,0.816,0.341,0.441,-6.005,0.0287,99.994,4
Austrialia,14,The Long Walk Home,Burke and Wills - the Expedition,Ashley Davies,2013,315786,0,0.528,0.731,0.528,0.311,0.831,0.104,-10.653,0.0359,96.119,4
Austrialia,15,Our Progress Is Very Slow,Burke and Wills - the Expedition,Ashley Davies,2013,70120,0,0.368,0.933,0.368,0.316,0.675,0.0955,-19.21,0.0446,90.963,4
